Course List Description,Course ID/ Wildcard,Subject/Catalog,Course Title,Require,Credits
CS-LSA major declaration Cal I,1794,MATH 115,Calculus I,One,4.0
CS-LSA major declaration Cal I,21317,MATH 120,Exam Calc Credit I,One,4.0
CS-LSA major declaration Cal I,5723,MATH 185,Honors Calc I,One,4.0
CS-LSA major declaration Cal I,5725,MATH 295,Honors Math I,One,4.0
CS-LSA major declaration Cal II,21318,MATH 121,Exam Calc Credit II,One,4.0
CS-LSA major declaration Cal II,20037,MATH 156,App Honors Calc 2,One,4.0
CS-LSA major declaration Cal II,5724,MATH 186,Honors Calc II,One,4.0
CS-LSA major declaration Cal II,1795,MATH 116,Calculus II,Must,4.0
CS-LSA major declaration ,12118,EECS 203,Discrete Math,Must,4.0
CS-LSA major declaration ,12112,EECS 280,Prog&Data Struct,Must,4.0
Core Probability,6305,STATS 412,Intro Prob Stat,One,3.0
Core Probability,21016,IOE 265,Prob&Stat for Eng,One,3.0
Core Probability,1957,STATS 250,Intr Stat&Data Anlys,One,4.0
Core Probability,9079,STATS 426,Intro to Theo Stat,One,3.0
Core Probability,3760,TO 301,Bus Analytics&Stats,One,4.0
Core Probability,45401,EECS 301,Probabil Mthd in Eng,One,4.0
Core Probability,4093,EECS 401,Prob Methods Eng,One,4.0
Core Probability,44142,STATS 280,Honors Intro Stats,One,4.0
Core Probability,5045,ECON 451,Inter Stat&Metrics I,One,4.0
Core CS,4297,EECS 281,Data Struct&Algor,All,4.0
Core CS,12126,EECS 370,Intro Computer Org,All,4.0
Core CS,4323,EECS 376,Foundatns Comp Sci,All,4.0
Upper Level CS Technical Electives (ULCS) ,48880,EECS 367,Intro Autos Robotics,16,4.0
Upper Level CS Technical Electives (ULCS) ,12127,EECS 373,Intro Embed Sys Des,16,4.0
Upper Level CS Technical Electives (ULCS) ,39380,EECS 381,Obj-Orient Adv Prog,16,4.0
Upper Level CS Technical Electives (ULCS) ,40784,EECS 385,Speed Programming,16,4.0
Upper Level CS Technical Electives (ULCS) ,14742,EECS 427,VLSI Design I,16,4.0
Upper Level CS Technical Electives (ULCS) ,14743,EECS 442,Computer Vision,16,4.0
Upper Level CS Technical Electives (ULCS) ,4322,EECS 470,Computer Architec,16,4.0
Upper Level CS Technical Electives (ULCS) ,40794,EECS 475,Intro Cryptography,16,4.0
Upper Level CS Technical Electives (ULCS) ,16836,EECS 477,Intro to Algorithms,16,4.0
Upper Level CS Technical Electives (ULCS) ,4324,EECS 478,Logic Ckt Syn&Opt,16,4.0
