Crse Lst,Crse Lst Descr,Eff Date,Crse Lst Effective Status,Crse Seq,Course ID,Subject,Catalog Nbr,description,WildCard,Wildcard Acad Group,Wildcard Subject,Wildcard Catalog,Valid Beg,Valid End,Term Code,Term Descr,Class Assoc,Topic ID,Req Designation,subject,course
176,1997 Second Language (no other),1997-09-03,A,89,43304,AAS,216,Intermed Swahili II,N,,,,2010-01-06,,,,0,0,,AA,AA 216
176,1997 Second Language (no other),1997-09-03,A,106,50335,AAS,226,Interm Yoruba II,N,,,,,,,,0,0,,AA,AA 226
176,1997 Second Language (no other),1997-09-03,A,88,43223,AAS,226,Interm Afr Lang II,N,,,,2009-09-08,,,,0,0,,AA,AA 226
176,1997 Second Language (no other),1997-09-03,A,55,21642,AAPTIS,204,IM Arab Comm II,N,,,,2000-01-05,,,,0,0,,AAPTI,AAPTI 204
176,1997 Second Language (no other),1997-09-03,A,52,21427,AAPTIS,243,Int 2nd Yr Pers,N,,,,1999-09-08,,,,0,0,,AAPTI,AAPTI 243
176,1997 Second Language (no other),1997-09-03,A,9,16066,AAPTIS,273,Int 2nd Wes Arm,N,,,,,,,,0,0,,AAPTI,AAPTI 273
176,1997 Second Language (no other),1997-09-03,A,85,42438,AAPTIS,419,Egyptian Arabic I&II,N,,,,2008-04-29,,,,0,0,,AAPTI,AAPTI 419
176,1997 Second Language (no other),1997-09-03,A,86,42446,AAPTIS,420,LevantineArabic I&II,N,,,,2008-04-29,,,,0,0,,AAPTI,AAPTI 420
176,1997 Second Language (no other),1997-09-03,A,4,7999,AAPTIS,516,Egypt Arabic II,N,,,,,2007-08-15,,,0,0,,AAPTI,AAPTI 516
176,1997 Second Language (no other),1997-09-03,A,5,8000,AAPTIS,518,Levant Arab II,N,,,,,2007-08-15,,,0,0,,AAPTI,AAPTI 518
176,1997 Second Language (no other),1997-09-03,A,105,18155,AMCULT,224,Span Herit Lang,N,,,,,,,,0,0,,AMCUL,AMCUL 224
176,1997 Second Language (no other),1997-09-03,A,7,13270,AMCULT,323,Intermed Ojibwe II,N,,,,,,,,0,0,,AMCUL,AMCUL 323
176,1997 Second Language (no other),1997-09-03,A,1,7996,ARABIC,202,Intermed Arabic II,N,,,,,,,,0,0,,ARABI,ARABI 202
176,1997 Second Language (no other),1997-09-03,A,84,42431,ARABIC,203,IntensIMArabicI&II,N,,,,2008-04-29,,,,0,0,,ARABI,ARABI 203
176,1997 Second Language (no other),1997-09-03,A,54,21293,ARABIC,222,Class Arabic IV,N,,,,1999-09-08,,,,0,0,,ARABI,ARABI 222
176,1997 Second Language (no other),1997-09-03,A,82,41899,ARABIC,421,Coll Egypt Arabic II,N,,,,2007-09-04,,,,0,0,,ARABI,ARABI 421
176,1997 Second Language (no other),1997-09-03,A,83,41901,ARABIC,426,Coll Lev Arabic II,N,,,,2007-09-04,,,,0,0,,ARABI,ARABI 426
176,1997 Second Language (no other),1997-09-03,A,8,9013,ARMENIAN,202,IM Wes Armen II,N,,,,,,,,0,0,,ARMENIA,ARMENIA 202
176,1997 Second Language (no other),1997-09-03,A,59,38822,ARMENIAN,206,In East Armenian II,N,,,,2001-09-05,,,,0,0,,ARMENIA,ARMENIA 206
176,1997 Second Language (no other),1997-09-03,A,9,16066,ARMENIAN,273,Int 2nd Wes Arm,N,,,,,,,,0,0,,ARMENIA,ARMENIA 273
176,1997 Second Language (no other),1997-09-03,A,11,8082,ASIANLAN,202,2nd Yr Chinese II,N,,,,,,,,0,0,,ASIANLA,ASIANLA 202
176,1997 Second Language (no other),1997-09-03,A,13,1560,ASIANLAN,203,Intsv 2nd Yr Chinese,N,,,,,,,,0,0,,ASIANLA,ASIANLA 203
176,1997 Second Language (no other),1997-09-03,A,12,17053,ASIANLAN,204,2nd Yr Heritage Chn,N,,,,,,,,0,0,,ASIANLA,ASIANLA 204
176,1997 Second Language (no other),1997-09-03,A,41,13409,ASIANLAN,212,2nd Yr Filipino II,N,,,,,,,,0,0,,ASIANLA,ASIANLA 212
176,1997 Second Language (no other),1997-09-03,A,40,15750,ASIANLAN,216,2nd Yr Hindi II,N,,,,,,,,0,0,,ASIANLA,ASIANLA 216
