Crse Lst,Crse Lst Descr,Eff Date,Crse Lst Effective Status,Crse Seq,Course ID,Subject,Catalog Nbr,description,WildCard,Wildcard Acad Group,Wildcard Subject,Wildcard Catalog,Valid Beg,Valid End,Term Code,Term Descr,Class Assoc,Topic ID,Req Designation,subject,course
179,1997 Presumption of Proficiency (1 of 2),1997-09-03,A,267,6226,AAPTIS,471,Adv West Arm I,N,,,,1999-09-08,,,,0,0,,AAPTI,AAPTI 471
179,1997 Presumption of Proficiency (1 of 2),1997-09-03,A,24,6226,AAPTIS,471,Adv West Arm I,N,,,,,,,,0,0,,AAPTI,AAPTI 471
179,1997 Presumption of Proficiency (1 of 2),1997-09-03,A,268,6227,AAPTIS,472,Adv West Arm II,N,,,,1999-09-08,,,,0,0,,AAPTI,AAPTI 472
179,1997 Presumption of Proficiency (1 of 2),1997-09-03,A,25,6227,AAPTIS,472,Adv West Arm II,N,,,,,,,,0,0,,AAPTI,AAPTI 472
179,1997 Presumption of Proficiency (1 of 2),1997-09-03,A,468,9134,AAPTIS,552,Read Tanzimat,N,,,,1997-09-03,,,,0,0,,AAPTI,AAPTI 552
179,1997 Presumption of Proficiency (1 of 2),1997-09-03,A,341,13475,AAPTIS,554,Adv Turk Comp,N,,,,1998-09-08,,,,0,0,,AAPTI,AAPTI 554
179,1997 Presumption of Proficiency (1 of 2),1997-09-03,A,15,9135,AAPTIS,556,Mod Turk Lit,N,,,,,,,,0,0,,AAPTI,AAPTI 556
179,1997 Presumption of Proficiency (1 of 2),1997-09-03,A,469,18962,AAPTIS,557,Mod Turk Poetr,N,,,,1997-09-03,,,,0,0,,AAPTI,AAPTI 557
179,1997 Presumption of Proficiency (1 of 2),1997-09-03,A,470,5415,ACABS,542,Lit Heb Bibl,N,,,,1997-09-03,,,,0,0,,ACAB,ACAB 542
179,1997 Presumption of Proficiency (1 of 2),1997-09-03,A,21,5413,ACABS,544,Tannaitic Lit,N,,,,,,,,0,0,,ACAB,ACAB 544
179,1997 Presumption of Proficiency (1 of 2),1997-09-03,A,480,18155,AMCULT,224,Span Herit Lang,N,,,,,,,,0,0,,AMCUL,AMCUL 224
179,1997 Presumption of Proficiency (1 of 2),1997-09-03,A,22,13272,AMCULT,422,Adv Ojibwe I,N,,,,,,,,0,0,,AMCUL,AMCUL 422
179,1997 Presumption of Proficiency (1 of 2),1997-09-03,A,23,13273,AMCULT,423,Adv Ojibwe II,N,,,,,,,,0,0,,AMCUL,AMCUL 423
179,1997 Presumption of Proficiency (1 of 2),1997-09-03,A,328,4746,ARABIC,401,Advanced Arabic I,N,,,,1997-09-03,,,,0,0,,ARABI,ARABI 401
179,1997 Presumption of Proficiency (1 of 2),1997-09-03,A,1,4747,ARABIC,402,Advanced Arabic II,N,,,,,,,,0,0,,ARABI,ARABI 402
179,1997 Presumption of Proficiency (1 of 2),1997-09-03,A,6,9964,ARABIC,501,Adv Arabic Conv&Comp,N,,,,,,,,0,0,,ARABI,ARABI 501
179,1997 Presumption of Proficiency (1 of 2),1997-09-03,A,7,8005,ARABIC,502,Readings in Arabic,N,,,,,,,,0,0,,ARABI,ARABI 502
179,1997 Presumption of Proficiency (1 of 2),1997-09-03,A,466,7997,ARABIC,504,Adv Arabic Media I,N,,,,1997-09-03,,,,0,0,,ARABI,ARABI 504
179,1997 Presumption of Proficiency (1 of 2),1997-09-03,A,255,4753,ARABIC,507,Arab Syn Semantics,N,,,,1998-09-08,,,,0,0,,ARABI,ARABI 507
179,1997 Presumption of Proficiency (1 of 2),1997-09-03,A,329,18171,ARABIC,516,Business Arabic II,N,,,,1997-09-03,,,,0,0,,ARABI,ARABI 516
179,1997 Presumption of Proficiency (1 of 2),1997-09-03,A,256,20822,ARABIC,600,Reading MARAA,N,,,,1998-09-08,,,,0,0,,ARABI,ARABI 600
179,1997 Presumption of Proficiency (1 of 2),1997-09-03,A,18,9966,ARABIC,603,Class Arabic Poetry,N,,,,,,,,0,0,,ARABI,ARABI 603
179,1997 Presumption of Proficiency (1 of 2),1997-09-03,A,269,21645,ARABIC,604,Mod Arab Poetry,N,,,,1999-09-08,,,,0,0,,ARABI,ARABI 604
179,1997 Presumption of Proficiency (1 of 2),1997-09-03,A,19,20419,ARABIC,605,Arab Hist Biog Geog,N,,,,,,,,0,0,,ARABI,ARABI 605
179,1997 Presumption of Proficiency (1 of 2),1997-09-03,A,267,6226,ARMENIAN,471,Adv West Arm I,N,,,,1999-09-08,,,,0,0,,ARMENIA,ARMENIA 471
179,1997 Presumption of Proficiency (1 of 2),1997-09-03,A,24,6226,ARMENIAN,471,Adv West Arm I,N,,,,,,,,0,0,,ARMENIA,ARMENIA 471
179,1997 Presumption of Proficiency (1 of 2),1997-09-03,A,25,6227,ARMENIAN,472,Adv West Arm II,N,,,,,,,,0,0,,ARMENIA,ARMENIA 472
179,1997 Presumption of Proficiency (1 of 2),1997-09-03,A,268,6227,ARMENIAN,472,Adv West Arm II,N,,,,1999-09-08,,,,0,0,,ARMENIA,ARMENIA 472
179,1997 Presumption of Proficiency (1 of 2),1997-09-03,A,374,18810,ASIAN,418,Urdu Poetry,N,,,,2000-09-02,,,,0,0,,ASIA,ASIA 418
179,1997 Presumption of Proficiency (1 of 2),1997-09-03,A,326,18362,ASIAN,419,Hindi-Urdu Poetry,N,,,,2001-09-05,,,,0,0,,ASIA,ASIA 419
