title,description,primary_instructor,subject,catalog_number,label_term,section,sub_title,credits,requirements_distribution,other,advisory_prerequisites,other_course_info,repeatability,consent
First Year Social Science Seminar,"This course seeks to introduce students to everyday life in urban Africa. The course is designed to equip students with basic and useful knowledge about the how urban residents – rich and poor, newcomers and old-timers, young and old, men and women – negotiate the challenges of living in cities.  This course focuses on networks, associational life, and relationships that are the ties that bind urban residents together.  Social organization, religious belief and practice, ethnicity, economic and political systems, the arts, and popular culture are some of the topics we will explore.  We will be approaching these themes from a variety of disciplinary perspectives, including history, anthropology, literature, political science, sociology, and economics.","Stein,Howard",AAS,103,"Fall 2021, ",Section 001, - Reading Africa: Critical Perspectives on Popular Development Books,3,SS,FYSem,"Enrollment restricted to first-year students, including those with sophomore standing.",(Cross-Area Courses). May not be included in a major.,May not be repeated for credit.,
First Year Social Science Seminar,"Blood diamonds. Resource curse. Land grabs. The tragedy of the commons. These concepts are often used to frame discussions about natural resource politics and environmental management in Africa. Time and again, we hear that corruption (in government) and overexploitation (by poor citizens) are preventing sustainable development, putting biodiversity conservation at risk, and providing fodder for ongoing conflict. This course prompts students to critically engage with these narratives through an appraisal of popular media, policy documents, and relevant scholarship in the fields of political economy, geography, anthropology, political ecology, and development studies. In doing so, we aim to uncover substantiations, deviations, and contradictions in cases across the African continent. Students will leave the course better equipped to interrogate the ways in which environmental and development challenges are shaped and landscapes produced by the complex interplay of local, national, and global forces.","Klein,Brian",AAS,103,"Fall 2021, ",Section 002, - Reconsidering African Environments,3,SS,FYSem,"Enrollment restricted to first-year students, including those with sophomore standing.",(Cross-Area Courses). May not be included in a major.,May not be repeated for credit.,
First Year Social Science Seminar,"This course will examine the history of racial domination in twentieth-century South Africa, the struggle against apartheid, and the legacy of apartheid in the twenty-first Century. Our objective will be to identify and evaluate emerging forms of governance, politics, and culture in this new African democracy.","Ashforth,Adam Philip",AAS,103,"Fall 2021, ",Section 003, - South Africa: from Apartheid to Democracy,3,SS,FYSem,"Enrollment restricted to first-year students, including those with sophomore standing.",(Cross-Area Courses). May not be included in a major.,May not be repeated for credit.,
First Year Humanities Seminar,This seminar introduces first-year students to the intellectual community of humanities scholars working in the field of Afroamerican and African studies.  The topic of the seminar varies from year to year.,"Zaborowska,Magdalena J",AAS,104,"Fall 2021, ",Section 001, - Black Lives and Life Writing: How We Tell Stories about Ourselves,3,HU,FYSem,"Enrollment restricted to first-year students, including those with sophomore standing.",(Cross-Area Courses). May not be included in a major.,May not be repeated for credit.,With permission of instructor.
First Year Humanities Seminar,"This seminar introduces first-year students to the intellectual community of humanities scholars working in the field of Afroamerican and African studies. 

The topic of this seminar is Black Atlantic Religion. We will study the religious beliefs, institutions and dialogues of African and African-origin communities across the Atlantic world. The class will focus on the transnational relationships of black communities across different time periods to examine how religion has informed slavery, identity, colonialism, revolutions, nationalism, globalization, and popular culture.   ","Deese,Adrian",AAS,104,"Fall 2021, ",Section 003, - Black Atlantic Religion,3,HU,FYSem,"Enrollment restricted to first-year students, including those with sophomore standing.",(Cross-Area Courses). May not be included in a major.,May not be repeated for credit.,
First Year Humanities Seminar,"When Rosa Parks refused to leave her seat on a city bus in Montgomery, Alabama one fateful afternoon in December 1955, the stage was set for what would later become the modern Civil Rights Movement, launching the public careers of Dr. Martin Luther King, Jr., the Student Nonviolent Coordinating Committee, and other civil rights leaders and organizations.  What is less widely known, however, is how Black and white activists in the American South during the 1950s and 1960s have come to inspire nonviolent political and social movements, worldwide, to the present day.

Utilizing historical literature, biography, and documentary film, this course will feature both an in-depth study of the origins, structure, and development of the American Civil Rights Movement, as well as focus on the success, and failings, of a select number of nonviolent struggles worldwide. ","Ellsworth,Scott A",AAS,104,"Fall 2021, ",Section 004, - Nonviolence: From Montgomery to the World,3,HU,FYSem,"Enrollment restricted to first-year students, including those with sophomore standing.",(Cross-Area Courses). May not be included in a major.,May not be repeated for credit.,
First Year Humanities Seminar,"This course looks at the historical and cultural development of food provisioning within African American culture. We explore how certain foodstuffs become traditional through the multi-ethnic societies of the early United States as well as in more recent historical moments like the Great Migration, the Dust Bowl, and the Black Power Movement. We will work to connect these moments to the everyday spaces of African American life by examining how domestic science, retail catalogs, radio, and television contribute to the symbolic meanings of food. By the end of the semester, students will better understand the contexts within which African Americans debate the value of group identity through food. ","Walker, Jessica Kenyatta",AAS,104,"Fall 2021, ",Section 007, - African American Foodways,3,HU,FYSem,"Enrollment restricted to first-year students, including those with sophomore standing.",(Cross-Area Courses). May not be included in a major.,May not be repeated for credit.,
First Year Humanities Seminar,"#RepresentationMatters has become a popular hashtag and saying but why? What is the impact of what we see in the media on how we view others and ourselves? This course explores that question by looking at two stigmatized groups, Black Americans and American Muslims, and how they are represented in US popular culture. We will examine and compare stereotypical representations of these groups on TV and in film and the roles these stereotypes play in shaping what the American public “knows” about Black people and about Muslims. In this course, students are introduced to important concepts of popular culture and the skills to interpret music, film, and television so they learn to look critically at the relationship between race, religion, and popular culture. By the end of the course, students will be able to identify and analyze popular culture’s explicit and implicit uses of race and religion, have a solid knowledge of theories on media and representation and be capable of making their own cultural critique.","Abdul Khabeer,Su'ad",AAS,104,"Fall 2021, ",Section 008," - Race, Religion, and Representation",3,HU,FYSem,"Enrollment restricted to first-year students, including those with sophomore standing.",(Cross-Area Courses). May not be included in a major.,May not be repeated for credit.,
First Year Humanities Seminar,This seminar introduces first-year students to the intellectual community of humanities scholars working in the field of Afroamerican and African studies.  The topic of the seminar varies from year to year.,"Deese,Adrian",AAS,104,"Fall 2021, ",Section 009, - Black Atlantic Religion,3,HU,FYSem,"Enrollment restricted to first-year students, including those with sophomore standing.",(Cross-Area Courses). May not be included in a major.,May not be repeated for credit.,
Elementary Swahili,This course is an introduction to spoken and written Swahili. It is designed to help students learn elementary spoken Swahili and the proper written grammar of the language. The course provides some exposure to the people and cultures of the Swahili-speaking communities.,"Mwipopo,Marko",AAS,115,"Fall 2021, ",Section 001, - Swahili Language and Culture,4,,,,,May not be repeated for credit.,
Elementary Swahili,This course is an introduction to spoken and written Swahili. It is designed to help students learn elementary spoken Swahili and the proper written grammar of the language. The course provides some exposure to the people and cultures of the Swahili-speaking communities.,"Mwipopo,Marko",AAS,115,"Fall 2021, ",Section 002,,4,,,,,May not be repeated for credit.,
Elementary Yoruba I,"This course is designed to introduce the Yoruba language and culture to non-native speakers.  Emphasis will be put on listening, speaking, reading and writing through communicative activities, enabling the students to perform the various tasks in the target language. Classes will also include role-plays and oral presentations.","Ayoola,Gabriel Olujide",AAS,125,"Fall 2021, ",Section 001, - Yoruba,4,,,,May not repeat the same language at the same level.,May not be repeated for credit.,
Introduction to African Studies,"An interdisciplinary introduction to the history and cultures of Africa. The course surveys Africa's prehistoric past, the rise and development of early African states, and African achievements from the medieval period to the present. Throughout, attention is given to changing perspectives and approaches in the field of African Studies.","Ekotto,Frieda",AAS,200,"Fall 2021, ",Section 001,,3,SS,,,,May not be repeated for credit.,
Introduction to Afro-American Studies,"What do Kendrick Lamar, Ida B. Wells, Marcus Garvey, James Baldwin, and Toni Morrison have
in common? Each of these figures are thought leaders about the condition of Black life in the
United States of America. What can we learn from understanding the lives, experiences, and
histories of Black Americans from enslavement to the present? This course provides an
interdisciplinary introduction to the field of African American Studies through careful attention
to the social, cultural, political, economic and historical realities of Black life in the U.S. In
addition to providing a strong foundation in African American Studies as a disciplinary field,
students will examine how Black communities have affected, and been affected by, the
development and growth of the United States as a democratic, social, and cultural project.
Topics covered will include antiblack racism, enslavement, citizenship, voting, policing, gender
and sexuality, civil rights, Black expressive and lived cultures, and racial discourse in the digital
age. Check out this link for an example of the layered work we will examine in this course:
https://www.youtube.com/watch?v=qQZc8SH6EFk","Strongman,Saraellen",AAS,201,"Fall 2021, ",Section 001,,3,SS,CBL,,,May not be repeated for credit.,
Introduction to African Diasporic Studies,"Is the African Diaspora a concept or an actual geographical location? Is it singular or are there multiple African diasporas? What does diaspora have to do with the multi-lingual, multicultural continent of over fifty countries that make up Africa? What impact has Africa and its diaspora(s) had on the so-called “white” West and its development as a site of tremendous wealth and privilege? AAS 202 engages these questions by exploring the long historical, economic, and political relationships between ""the West"" (e.g., United States, Britain, France, and Germany) and selected countries in Africa and the diaspora (e.g., Jamaica, Haiti, Brazil, Mali, Liberia, Ethiopia, Democratic Republic of Congo, and South Africa). Topics include: pre-colonial African empires; the Middle Passage; child soldiers; public health; conflict minerals; slavery and resistance; migration; empire, colonialism, and post-colonialism; twentieth-century freedom movements; religion; and popular forms of cultural expression.","Khan,Aliyah R",AAS,202,"Fall 2021, ",Section 001, - Global Blackness,3,,,,,May not be repeated for credit.,
Intermediate Swahili I,"This course concentrates on developing communicative skills to enable the learners engage in meaningful verbal interactions with other Swahili speakers. In order to achieve this goal, most lessons are task-based, both pedagogic and real-life tasks. Activities such as role-play, creating sample materials, discussion, storytelling, describing scenes, and studying authentic cultural objects are used.  Reading and writing passages are carried out as would be in a Swahili speaking community.  Prerequisite: AAS 116 or permission from the instructor after testing.","Mwipopo,Marko",AAS,215,"Fall 2021, ",Section 001,,4,,,AAS 116 or 117.,,May not be repeated for credit.,
Intermediate Yoruba I,"This intermediate level course sequence is designed for students who have successfully completed the Elementary sequence, or with the permission of the instructor. Instruction is offered through a distance-learning, course share program at Indiana University. It broadens speaking, reading and writing skills as students engage in discussions and writing on more complex topics. Videos, audio tapes, newspapers, magazines and the internet provide resources for the content of materials of the students’ interests as well as exposure to more advanced language. They are encouraged to discuss culture as well as news from Africa. Students begin to read short novels, plays, poetry, and essays. Using a variety of materials, students acquire a solid knowledge of morphology and syntax, vocabulary, and more complex practice in speaking and writing. Swahili is currently the only language available at the Intermediate level, but additional languages may be added in the future.","Ayoola,Gabriel Olujide",AAS,225,"Fall 2021, ",Section 001, - Yoruba,4,,,AAS 126 or permission of instructor based on proficiency in elementary language skills.,May not repeat the same language at the same level.,May not be repeated for credit.,
Stayin' Alive: Performing Race in 1970s U.S. Film,"Using Hollywood films as the primary texts, this course will introduce students to many of the debates surrounding the aesthetic, political, and social climate of the US in the 1970s marked by the increasing influence of identity politics, the Ethnic Revival, and black power.","Poulson-Bryant,Scott",AAS,233,"Fall 2021, ",Section 001, - Performing Race in 1970s Film,3,,,,,May not be repeated for credit.,
Africa to 1850,"The history of early Africa is expansive, encompassing several millennia and several thousands of square miles. It entails the peopling of a continent, the rise of centralized kingdoms and long-distance trade networks, technological innovation, the birth of diverse cultural forms and social identities, violent confrontations, and creative ideas about what it means to live together. It is also a difficult history to access as most African civilizations before the 19th century prioritized unwritten forms of communication. This class presents several important episodes in the long history of early African civilization and introduces students to the ways historians of the distant past think about and use various forms of evidence including language, material culture, oral traditions, and folklore.","Poteet,Ellen Spence",AAS,246,"Fall 2021, ",Section 001,,3,SS,,,,May not be repeated for credit.,With permission of instructor.
"Law, Race, and the Historical Process, I","AAS 450 is the first half of a two-course sequence on the constitutional and legal history of African Americans.  It covers the phase of this history that begins with European exploration of the western hemisphere, and ends as we set the stage for the advent of the Modern Civil Rights movement.  A unique backdrop for our work throughout the term will be the historical significance of the year 2005.  This is, among other things, the 50th anniversary of two pivotal events in the history of the Modern Civil Rights Movement — the murder of 14 year old Emmett Till in Money Mississippi, and the beginning of the Montgomery Bus Boycott in Montgomery, Alabama. It is the 40th anniversary year of the passage of the monumental Voting Rights Act of 1965. If the events of 1955, along with the historic Brown decision of the year before, represented the opening salvo in the Modern Civil Rights Era, the Voting Rights Act of 1965, combined with the other legislative foundation posts initiated in that era, and was the practical policy steps taken to usher in an era of operational equality in American life. 

AAS 450 will look, however, at the origins of this central challenge of the 20th and 21st centuries. That challenge, essentially is to resolve the “birth conflicts” present as the North American colonies and later the United States take shape. In looking at the how and why questions of law in the time period from 1400-1900, AAS 450 will focus upon the conceptual underpinnings of the study of race and law in the U.S., the era of Constitutional formation, the dynamics of law in the antebellum period, the possibilities and limitations of law in Reconstruction and thereafter, and the halting nature of the quest for power and presence during the period of Jim Crow segregation. 

 Readings by Derrick Bell, Annette Gordon Reed, Thurgood Marshall, and others.
Course Requirements:Two tests, final examination and writings analyses.Intended Audience:No data submittedClass Format:My online class will include both synchronous and asynchronous elements, but I will generally expect students to “attend” my class at its currently scheduled time.","Woods,Ronald C",AAS,250,"Fall 2021, ",Section 001," - Law, Race, Historical Process",3,,,,,May not be repeated for credit.,
The Political Economy of African Development,"The course introduces students to the confluence of political and economic forces at the local,
national, regional, and global levels that have helped shape the trajectory of African development.
The course is divided into three parts: the first examines the meaning and evolution of the political
economy of development in the context of Africa’s unfolding history from pre-independence
through the era of structural adjustment. The second applies an understanding of political economy
to topical development issues such as environment and climate change, causes and consequences of
conflict, health and development, and international aid. The latter section applies the political
economy framework to particular African country case studies.","Stein,Howard",AAS,260,"Fall 2021, ",Section 001, - The Political Economy,3,SS,,,,May not be repeated for credit.,
Introduction to Afro-American Literature,"In this course we will study the emergence and early development of African American literature, from 1773 to the Harlem Renaissance. We will do literary close readings of texts to think through many of the issues relating to the development of an African American literary tradition. What constitutes a tradition? Can there be more than one? Along with these questions, we will examine our own assumptions about this literature and the many ways in which these texts reflect the different experiences of African Americans intent on gaining a national voice in a slaveholding and racially polarized nation.","Santamarina,Xiomara A",AAS,271,"Fall 2021, ",Section 001,,3,"HU, RE",,AAS 111 (CAAS 111).,,May not be repeated for credit.,With permission of instructor.
Black women in Popular Culture,"Popular culture is an important site for creating, challenging, and transmitting meanings about race, gender and sexuality. What can we learn about race and gender using the lens of popular culture? In this course, we will examine how Black women construct and are constructed by popular culture in the U.S. by building a set of critical tools that can help us navigate this rich terrain. We will explore topics such as representations of Black femininity, Black sexuality and representation, stereotypes, and subversive media, over a wide range of popular culture artifacts. And we will consider the impact and meaning of Black women such as Beyoncé, Rihanna, Janelle Monaé, Michelle Obama, and Janet Mock.","Kelow-Bennett, Lydia  ",AAS,275,"Fall 2021, ",Section 001,,3,ID,,,,May not be repeated for credit.,
Selected Topics in Black World Studies,"The mini-course seminars will introduce students to a range of issues and experiences related to the topics and identity categories of specialized topics in Afroamerican, African, and/or Caribbean studies. The courses will explore and analyze major aspects of the subject matter:

  historical contexts for the interactions of African and the diaspora; 
  personal experiences; and
  meanings and effects. 

This is a combined short lecture/discussion course that is designed to function as an introduction to the subject matter. Students at all levels are welcome to enroll.Course Requirements:The assignments for this course include four short papers, a presentation, and active participation in class discussion. 

 Reading Journal: 

40% Flash Research 
 Project& Presentation: 40% 
 Participation: 20% 
Intended Audience:	This course is geared towards students who have interests in Afroamerican, African, and/or Caribbean studies. The course meets the 200-level area course requirement for DAAS majors and minors.Class Format:	Seminar","Ellsworth,Scott A",AAS,290,"Fall 2021, ",Section 003, - Hoop Dreams: Race and Basketball in America,2,,Minicourse,,,May not be repeated for credit.,
Selected Topics in Black World Studies,"How does a spider trounce a lion? And why do so many African princes send emails promising immense wealth while showcasing such poor financial skills? During this course, we will examine the evolution of the trickster figure from folk literature to modern texts. Tricksters are found in different literary traditions, from ancient religious writings to modern detective fiction. They are as diverse as Kweku Ananse, Brer Rabbit, or Odysseus. While certain texts, particularly those from monotheistic cultures, tend to be wary of the trickster’s untrustworthiness, others regularly embrace his subversiveness.
We will read from the Jero plays, The Fortunes of Wangrin and Diaries of a Dead African, and dip into online sketches. We will ask if it would be right to call the African trickster a culture hero. Whose side is he on, really? How do the reader and the society relate to someone who can convincingly be argued as problematic but is also entertaining? We will tackle these questions by focusing on textual analysis and how we judge African literary texts.","Ellsworth,Scott A",AAS,290,"Fall 2021, ",Section 004, - Hoop Dreams: Race and Basketball in America,2,,Minicourse,,,May not be repeated for credit.,
Selected Topics in Black World Studies,"The mini-course seminars will introduce students to a range of issues and experiences related to the topics and identity categories of specialized topics in Afroamerican, African, and/or Caribbean studies. The courses will explore and analyze major aspects of the subject matter:

  historical contexts for the interactions of African and the diaspora; 
  personal experiences; and
  meanings and effects. 

This is a combined short lecture/discussion course that is designed to function as an introduction to the subject matter. Students at all levels are welcome to enroll.Course Requirements:The assignments for this course include four short papers, a presentation, and active participation in class discussion. 

 Reading Journal: 

40% Flash Research 
 Project& Presentation: 40% 
 Participation: 20% 
Intended Audience:	This course is geared towards students who have interests in Afroamerican, African, and/or Caribbean studies. The course meets the 200-level area course requirement for DAAS majors and minors.Class Format:	Seminar","Boisseron,Benedicte M",AAS,290,"Fall 2021, ",Section 005, - The Black Memoir,2,,Minicourse,,,May not be repeated for credit.,
