Crse Lst,Crse Lst Descr,Eff Date,Crse Lst Effective Status,Crse Seq,Course ID,Subject,Catalog Nbr,description,WildCard,Wildcard Acad Group,Wildcard Subject,Wildcard Catalog,Valid Beg,Valid End,Term Code,Term Descr,Class Assoc,Topic ID,Req Designation,subject,course
3474,Second Language courses for Residential College,1901-01-01,A,64,6226,AAPTIS,471,Adv West Arm I,N,,,,,,,,0,0,,AAPTI,AAPTI 471
3474,Second Language courses for Residential College,1901-01-01,A,65,15631,AAPTIS,471,Int Old Arm Lit,N,,,,,,,,0,0,,AAPTI,AAPTI 471
3474,Second Language courses for Residential College,1901-01-01,A,66,6227,AAPTIS,472,Adv West Arm II,N,,,,,,,,0,0,,AAPTI,AAPTI 472
3474,Second Language courses for Residential College,1901-01-01,A,47,7910,ACABS,428,Gospl John-Greek,N,,,,,,,,0,0,,ACAB,ACAB 428
3474,Second Language courses for Residential College,1901-01-01,A,48,7911,ACABS,429,Gospl Paul-Greek,N,,,,,,,,0,0,,ACAB,ACAB 429
3474,Second Language courses for Residential College,1901-01-01,A,60,7996,ARABIC,202,Intermed Arabic II,N,,,,,,,,0,0,,ARABI,ARABI 202
3474,Second Language courses for Residential College,1901-01-01,A,67,21290,ARABIC,521,Class Arabic I,N,,,,,,,,0,0,,ARABI,ARABI 521
3474,Second Language courses for Residential College,1901-01-01,A,68,21291,ARABIC,522,Class Arabic II,N,,,,,,,,0,0,,ARABI,ARABI 522
3474,Second Language courses for Residential College,1901-01-01,A,65,15631,ARMENIAN,415,Int Old Arm Lit,N,,,,,,,,0,0,,ARMENIA,ARMENIA 415
3474,Second Language courses for Residential College,1901-01-01,A,64,6226,ARMENIAN,471,Adv West Arm I,N,,,,,,,,0,0,,ARMENIA,ARMENIA 471
3474,Second Language courses for Residential College,1901-01-01,A,66,6227,ARMENIAN,472,Adv West Arm II,N,,,,,,,,0,0,,ARMENIA,ARMENIA 472
3474,Second Language courses for Residential College,1901-01-01,A,16,8082,ASIANLAN,202,2nd Yr Chinese II,N,,,,,,,,0,0,,ASIANLA,ASIANLA 202
3474,Second Language courses for Residential College,1901-01-01,A,23,21575,ASIANLAN,411,Advanced Filipino I,N,,,,,,,,0,0,,ASIANLA,ASIANLA 411
3474,Second Language courses for Residential College,1901-01-01,A,24,21576,ASIANLAN,412,Advanced Filipino II,N,,,,,,,,0,0,,ASIANLA,ASIANLA 412
3474,Second Language courses for Residential College,1901-01-01,A,25,16713,ASIANLAN,417,Advanced Hindi I,N,,,,,,,,0,0,,ASIANLA,ASIANLA 417
3474,Second Language courses for Residential College,1901-01-01,A,26,16910,ASIANLAN,418,Advanced Hindi II,N,,,,,,,,0,0,,ASIANLA,ASIANLA 418
3474,Second Language courses for Residential College,1901-01-01,A,27,13432,ASIANLAN,419,Adv Indonesian I,N,,,,,,,,0,0,,ASIANLA,ASIANLA 419
3474,Second Language courses for Residential College,1901-01-01,A,28,13433,ASIANLAN,420,Adv Indonesian II,N,,,,,,,,0,0,,ASIANLA,ASIANLA 420
3474,Second Language courses for Residential College,1901-01-01,A,31,13441,ASIANLAN,455,Advanced Tamil I,N,,,,,,,,0,0,,ASIANLA,ASIANLA 455
3474,Second Language courses for Residential College,1901-01-01,A,32,13442,ASIANLAN,456,Advanced Tamil II,N,,,,,,,,0,0,,ASIANLA,ASIANLA 456
3474,Second Language courses for Residential College,1901-01-01,A,33,13430,ASIANLAN,461,Advanced Thai I,N,,,,,,,,0,0,,ASIANLA,ASIANLA 461
3474,Second Language courses for Residential College,1901-01-01,A,34,13431,ASIANLAN,462,Advanced Thai II,N,,,,,,,,0,0,,ASIANLA,ASIANLA 462
3474,Second Language courses for Residential College,1901-01-01,A,35,22059,ASIANLAN,463,Advanced Tibetan I,N,,,,,,,,0,0,,ASIANLA,ASIANLA 463
3474,Second Language courses for Residential College,1901-01-01,A,36,22060,ASIANLAN,464,Advanced Tibetan II,N,,,,,,,,0,0,,ASIANLA,ASIANLA 464
3474,Second Language courses for Residential College,1901-01-01,A,37,38701,ASIANLAN,471,Advanced Urdu I,N,,,,,,,,0,0,,ASIANLA,ASIANLA 471
3474,Second Language courses for Residential College,1901-01-01,A,38,38702,ASIANLAN,472,Advanced Urdu II,N,,,,,,,,0,0,,ASIANLA,ASIANLA 472
3474,Second Language courses for Residential College,1901-01-01,A,39,13452,ASIANLAN,475,Adv Vietnamese I,N,,,,,,,,0,0,,ASIANLA,ASIANLA 475
3474,Second Language courses for Residential College,1901-01-01,A,40,13453,ASIANLAN,476,Adv Vietnamese II,N,,,,,,,,0,0,,ASIANLA,ASIANLA 476
3474,Second Language courses for Residential College,1901-01-01,A,74,20444,CZECH,341,Third-Yr Cz,N,,,,,,,,0,0,,CZEC,CZEC 341
3474,Second Language courses for Residential College,1901-01-01,A,75,20445,CZECH,342,Third-Yr Cz,N,,,,,,,,0,0,,CZEC,CZEC 342
3474,Second Language courses for Residential College,1901-01-01,A,76,5032,CZECH,480,Superv Reading,N,,,,,,,,0,0,,CZEC,CZEC 480
3474,Second Language courses for Residential College,1901-01-01,A,52,5036,DUTCH,480,Modern Dutch Lit,N,,,,,,,,0,0,,DUTC,DUTC 480
3474,Second Language courses for Residential College,1901-01-01,A,56,39912,GERMAN,327,Adv Yiddish I,N,,,,,,,,0,0,,GERMA,GERMA 327
3474,Second Language courses for Residential College,1901-01-01,A,57,39711,GERMAN,328,Advanced Yiddish II,N,,,,,,,,0,0,,GERMA,GERMA 328
3474,Second Language courses for Residential College,1901-01-01,A,81,7907,GREEK,307,Synoptic Gospls,N,,,,,,,,0,0,,GREE,GREE 307
3474,Second Language courses for Residential College,1901-01-01,A,82,5397,GREEK,308,Acts Apostles,N,,,,,,,,0,0,,GREE,GREE 308
3474,Second Language courses for Residential College,1901-01-01,A,83,5398,GREEK,401,Greek Prose,N,,,,,,,,0,0,,GREE,GREE 401
3474,Second Language courses for Residential College,1901-01-01,A,84,8415,GREEK,402,Drama,N,,,,,,,,0,0,,GREE,GREE 402
3474,Second Language courses for Residential College,1901-01-01,A,41,15947,GREEK,410,Elem Composition,N,,,,,,,,0,0,,GREE,GREE 410
3474,Second Language courses for Residential College,1901-01-01,A,42,10558,GREEK,435,5th C Prose,N,,,,,,,,0,0,,GREE,GREE 435
3474,Second Language courses for Residential College,1901-01-01,A,43,11975,GREEK,436,Herodotus,N,,,,,,,,0,0,,GREE,GREE 436
3474,Second Language courses for Residential College,1901-01-01,A,45,10009,GREEK,438,Attic Orators,N,,,,,,,,0,0,,GREE,GREE 438
3474,Second Language courses for Residential College,1901-01-01,A,46,11977,GREEK,462,Plato: Republic,N,,,,,,,,0,0,,GREE,GREE 462
3474,Second Language courses for Residential College,1901-01-01,A,44,40765,GREEK,476,Adv Greek Reading,N,,,,,,,,0,0,,GREE,GREE 476
