Crse Lst,Crse Lst Descr,Eff Date,Crse Lst Effective Status,Crse Seq,Course ID,Subject,Catalog Nbr,title,WildCard,Wildcard Acad Group,Wildcard Subject,Wildcard Catalog,Valid Beg,Valid End,Term Code,Term Descr,Class Assoc,Topic ID,Req Designation,subject,course
8140,1997 Presumption of Proficiency - Courses added after Winter 2011 (2 of 2),1997-09-07,A,1,42437,ARABIC,517,Bus Arabic I & II,N,,,,,,,,0,0,,ARABI,ARABI 517
8140,1997 Presumption of Proficiency - Courses added after Winter 2011 (2 of 2),1997-09-07,A,2,42499,ASIANLAN,414,Modern Jpn Fiction,N,,,,,,,,0,0,,ASIANLA,ASIANLA 414
8140,1997 Presumption of Proficiency - Courses added after Winter 2011 (2 of 2),1997-09-07,A,3,42093,ASIANLAN,439,Academic Japanese I,N,,,,,,,,0,0,,ASIANLA,ASIANLA 439
8140,1997 Presumption of Proficiency - Courses added after Winter 2011 (2 of 2),1997-09-07,A,4,42094,ASIANLAN,440,Academic Japanese II,N,,,,,,,,0,0,,ASIANLA,ASIANLA 440
8140,1997 Presumption of Proficiency - Courses added after Winter 2011 (2 of 2),1997-09-07,A,27,47692,CATALAN,291,Intr Catalan Lg/Cult,N,,,,,,,,0,0,,CATALA,CATALA 291
8140,1997 Presumption of Proficiency - Courses added after Winter 2011 (2 of 2),1997-09-07,A,5,43471,FRENCH,361,French Amer Studies,N,,,,,,,,0,0,,FRENC,FRENC 361
8140,1997 Presumption of Proficiency - Courses added after Winter 2011 (2 of 2),1997-09-07,A,6,42432,GERMAN,356,Intro German to K-8,N,,,,,,,,0,0,,GERMA,GERMA 356
8140,1997 Presumption of Proficiency - Courses added after Winter 2011 (2 of 2),1997-09-07,A,7,42433,GERMAN,357,Tutoring HS and K-8,N,,,,,,,,0,0,,GERMA,GERMA 357
8140,1997 Presumption of Proficiency - Courses added after Winter 2011 (2 of 2),1997-09-07,A,8,41695,GREEK,451,Comedy,N,,,,,,,,0,0,,GREE,GREE 451
8140,1997 Presumption of Proficiency - Courses added after Winter 2011 (2 of 2),1997-09-07,A,9,42988,ITALIAN,270,Lang in Action I,N,,,,,,,,0,0,,ITALIA,ITALIA 270
8140,1997 Presumption of Proficiency - Courses added after Winter 2011 (2 of 2),1997-09-07,A,10,18206,ITALIAN,430,20th C Italy,N,,,,,,,,0,0,,ITALIA,ITALIA 430
8140,1997 Presumption of Proficiency - Courses added after Winter 2011 (2 of 2),1997-09-07,A,11,42596,ITALIAN,461,Italian Thru Opera,N,,,,,,,,0,0,,ITALIA,ITALIA 461
8140,1997 Presumption of Proficiency - Courses added after Winter 2011 (2 of 2),1997-09-07,A,12,41940,ITALIAN,470,Adv Topic Ital Study,N,,,,,,,,0,0,,ITALIA,ITALIA 470
8140,1997 Presumption of Proficiency - Courses added after Winter 2011 (2 of 2),1997-09-07,A,25,5660,LATIN,435,Postclassic Latin I,N,,,,,,,,0,0,,LATI,LATI 435
8140,1997 Presumption of Proficiency - Courses added after Winter 2011 (2 of 2),1997-09-07,A,13,11986,LATIN,447,Catullus,N,,,,,,,,0,0,,LATI,LATI 447
