Course ID,Offer Nbr,Term,Session,Section,Crse Attr,CrsAtr Val,Term.1,Subject,Catalog Nbr,title,subject,course
45389,1,2360,1,1,NS,NS,2360,ANTHRBIO,166,Human Origins,ANTHRBI,ANTHRBI 166
47717,1,2360,1,8,NS,NS,2360,ANTHRBIO,167,Evol Envir GlobHeath,ANTHRBI,ANTHRBI 167
47717,1,2360,1,1,NS,NS,2360,ANTHRBIO,167,Evol Envir GlobHeath,ANTHRBI,ANTHRBI 167
47717,1,2360,1,9,NS,NS,2360,ANTHRBIO,167,Evol Envir GlobHeath,ANTHRBI,ANTHRBI 167
47717,1,2360,1,10,NS,NS,2360,ANTHRBIO,167,Evol Envir GlobHeath,ANTHRBI,ANTHRBI 167
47717,1,2360,1,3,NS,NS,2360,ANTHRBIO,167,Evol Envir GlobHeath,ANTHRBI,ANTHRBI 167
47717,1,2360,1,2,NS,NS,2360,ANTHRBIO,167,Evol Envir GlobHeath,ANTHRBI,ANTHRBI 167
47717,1,2360,1,5,NS,NS,2360,ANTHRBIO,167,Evol Envir GlobHeath,ANTHRBI,ANTHRBI 167
47717,1,2360,1,6,NS,NS,2360,ANTHRBIO,167,Evol Envir GlobHeath,ANTHRBI,ANTHRBI 167
47717,1,2360,1,7,NS,NS,2360,ANTHRBIO,167,Evol Envir GlobHeath,ANTHRBI,ANTHRBI 167
47717,1,2360,1,4,NS,NS,2360,ANTHRBIO,167,Evol Envir GlobHeath,ANTHRBI,ANTHRBI 167
4649,1,2360,1,3,NS,NS,2360,ANTHRBIO,201,How Humans Evolved,ANTHRBI,ANTHRBI 201
4649,1,2360,1,6,NS,NS,2360,ANTHRBIO,201,How Humans Evolved,ANTHRBI,ANTHRBI 201
4649,1,2360,1,2,NS,NS,2360,ANTHRBIO,201,How Humans Evolved,ANTHRBI,ANTHRBI 201
4649,1,2360,1,7,NS,NS,2360,ANTHRBIO,201,How Humans Evolved,ANTHRBI,ANTHRBI 201
4649,1,2360,1,1,NS,NS,2360,ANTHRBIO,201,How Humans Evolved,ANTHRBI,ANTHRBI 201
4649,1,2360,1,4,NS,NS,2360,ANTHRBIO,201,How Humans Evolved,ANTHRBI,ANTHRBI 201
4649,1,2360,1,5,NS,NS,2360,ANTHRBIO,201,How Humans Evolved,ANTHRBI,ANTHRBI 201
4652,1,2360,1,2,NS,NS,2360,ANTHRBIO,365,Human Evolution,ANTHRBI,ANTHRBI 365
4652,1,2360,1,3,NS,NS,2360,ANTHRBIO,365,Human Evolution,ANTHRBI,ANTHRBI 365
4652,1,2360,1,1,NS,NS,2360,ANTHRBIO,365,Human Evolution,ANTHRBI,ANTHRBI 365
42073,1,2360,1,4,NS,NS,2360,ANTHRBIO,366,Evolution-Human Body,ANTHRBI,ANTHRBI 366
42073,1,2360,1,5,NS,NS,2360,ANTHRBIO,366,Evolution-Human Body,ANTHRBI,ANTHRBI 366
42073,1,2360,1,2,NS,NS,2360,ANTHRBIO,366,Evolution-Human Body,ANTHRBI,ANTHRBI 366
42073,1,2360,1,3,NS,NS,2360,ANTHRBIO,366,Evolution-Human Body,ANTHRBI,ANTHRBI 366
42073,1,2360,1,1,NS,NS,2360,ANTHRBIO,366,Evolution-Human Body,ANTHRBI,ANTHRBI 366
1496,1,2360,1,3,NS,NS,2360,ANTHRBIO,368,Primate Behavior,ANTHRBI,ANTHRBI 368
1496,1,2360,1,4,NS,NS,2360,ANTHRBIO,368,Primate Behavior,ANTHRBI,ANTHRBI 368
