Crse Lst,Crse Lst Descr,Eff Date,Crse Lst Effective Status,Crse Seq,Course ID,Subject,Catalog Nbr,title,WildCard,Wildcard Acad Group,Wildcard Subject,Wildcard Catalog,Valid Beg,Valid End,Term Code,Term Descr,Class Assoc,Topic ID,Req Designation,subject,course
1329,"1997 QR2 (No Test, Transfer or Other credit)",1997-09-03,A,17,20776,AOSS,135,Expl Solar Syst,N,,,,1998-01-07,,,,0,0,,AOS,AOS 135
1329,"1997 QR2 (No Test, Transfer or Other credit)",1997-09-03,A,1,4769,ASTRO,101,Intro Solar System,N,,,,,,,,0,0,,ASTR,ASTR 101
1329,"1997 QR2 (No Test, Transfer or Other credit)",1997-09-03,A,2,4770,ASTRO,102,Stars & Universe,N,,,,,,,,0,0,,ASTR,ASTR 102
1329,"1997 QR2 (No Test, Transfer or Other credit)",1997-09-03,A,30,42157,ASTRO,104,Alien Skies,N,,,,2007-09-04,,,,0,0,,ASTR,ASTR 104
1329,"1997 QR2 (No Test, Transfer or Other credit)",1997-09-03,A,31,42776,ASTRO,105,Cosmos Constellatns,N,,,,2009-01-07,,,,0,0,,ASTR,ASTR 105
1329,"1997 QR2 (No Test, Transfer or Other credit)",1997-09-03,A,3,4771,ASTRO,111,Intro Solar System,N,,,,,,,,0,0,,ASTR,ASTR 111
1329,"1997 QR2 (No Test, Transfer or Other credit)",1997-09-03,A,4,1533,ASTRO,112,Stars&Universe,N,,,,,,,,0,0,,ASTR,ASTR 112
1329,"1997 QR2 (No Test, Transfer or Other credit)",1997-09-03,A,21,38619,ASTRO,115,Intro Astrobiology,N,,,,2001-01-04,,,,0,0,,ASTR,ASTR 115
1329,"1997 QR2 (No Test, Transfer or Other credit)",1997-09-03,A,5,4772,ASTRO,130,Explorations,N,,,,,,,,0,0,,ASTR,ASTR 130
1329,"1997 QR2 (No Test, Transfer or Other credit)",1997-09-03,A,17,20776,ASTRO,135,Expl Solar Syst,N,,,,1998-01-07,,,,0,0,,ASTR,ASTR 135
1329,"1997 QR2 (No Test, Transfer or Other credit)",1997-09-03,A,29,41875,ASTRO,142,Big Bang,N,,,,2007-01-04,,,,0,0,,ASTR,ASTR 142
1329,"1997 QR2 (No Test, Transfer or Other credit)",1997-09-03,A,6,17584,ASTRO,201,Intro Astrophysics,N,,,,,2011-01-04,,,0,0,,ASTR,ASTR 201
1329,"1997 QR2 (No Test, Transfer or Other credit)",1997-09-03,A,28,41456,ASTRO,210,Magellan Discoveries,N,,,,2006-01-05,,,,0,0,,ASTR,ASTR 210
1329,"1997 QR2 (No Test, Transfer or Other credit)",1997-09-03,A,36,44078,ASTRO,220,Astro Discoveries,N,,,,2011-09-06,,,,0,0,,ASTR,ASTR 220
1329,"1997 QR2 (No Test, Transfer or Other credit)",1997-09-03,A,44,48175,ASTRO,232,Honors Core Astro,N,,,,2017-12-22,,,,0,0,,ASTR,ASTR 232
1329,"1997 QR2 (No Test, Transfer or Other credit)",1997-09-03,A,18,20869,BIOPHYS,290,Physics Body&Mind,N,,,,1998-01-07,,,,0,0,,BIOPHY,BIOPHY 290
