Course ID,Offer Nbr,Term,Session,Section,Crse Attr,CrsAtr Val,Term.1,Subject,Catalog Nbr,title,subject,course
41609,1,2360,1,1,CE,CE,2360,AMCULT,355,Topics Am Creat Expr,AMCUL,AMCUL 355
47440,1,2360,1,1,CE,CE,2360,AMCULT,372,Hula Creative Prac,AMCUL,AMCUL 372
7379,1,2360,1,1,CE,CE,2360,ARCH,201,Basic Drawing,ARC,ARC 201
3464,1,2360,1,2,CE,CE,2360,ARCH,202,Graph Communicatn,ARC,ARC 202
3464,1,2360,1,1,CE,CE,2360,ARCH,202,Graph Communicatn,ARC,ARC 202
3471,1,2360,1,1,CE,CE,2360,ARCH,218,Visual Studies,ARC,ARC 218
43552,1,2360,1,6,CE,CE,2360,ARTDES,100,Drawing: Observation,ARTDE,ARTDE 100
43552,1,2360,1,11,CE,CE,2360,ARTDES,100,Drawing: Observation,ARTDE,ARTDE 100
43552,1,2360,1,13,CE,CE,2360,ARTDES,100,Drawing: Observation,ARTDE,ARTDE 100
43552,1,2360,1,12,CE,CE,2360,ARTDES,100,Drawing: Observation,ARTDE,ARTDE 100
43552,1,2360,1,5,CE,CE,2360,ARTDES,100,Drawing: Observation,ARTDE,ARTDE 100
43552,1,2360,1,4,CE,CE,2360,ARTDES,100,Drawing: Observation,ARTDE,ARTDE 100
43552,1,2360,1,3,CE,CE,2360,ARTDES,100,Drawing: Observation,ARTDE,ARTDE 100
43552,1,2360,1,7,CE,CE,2360,ARTDES,100,Drawing: Observation,ARTDE,ARTDE 100
43552,1,2360,1,2,CE,CE,2360,ARTDES,100,Drawing: Observation,ARTDE,ARTDE 100
43552,1,2360,1,1,CE,CE,2360,ARTDES,100,Drawing: Observation,ARTDE,ARTDE 100
43552,1,2360,1,9,CE,CE,2360,ARTDES,100,Drawing: Observation,ARTDE,ARTDE 100
43552,1,2360,1,10,CE,CE,2360,ARTDES,100,Drawing: Observation,ARTDE,ARTDE 100
43552,1,2360,1,8,CE,CE,2360,ARTDES,100,Drawing: Observation,ARTDE,ARTDE 100
39519,1,2360,1,3,CE,CE,2360,ARTDES,120,Studio: 3D,ARTDE,ARTDE 120
39519,1,2360,1,7,CE,CE,2360,ARTDES,120,Studio: 3D,ARTDE,ARTDE 120
39519,1,2360,1,5,CE,CE,2360,ARTDES,120,Studio: 3D,ARTDE,ARTDE 120
39519,1,2360,1,6,CE,CE,2360,ARTDES,120,Studio: 3D,ARTDE,ARTDE 120
39519,1,2360,1,11,CE,CE,2360,ARTDES,120,Studio: 3D,ARTDE,ARTDE 120
39519,1,2360,1,9,CE,CE,2360,ARTDES,120,Studio: 3D,ARTDE,ARTDE 120
39519,1,2360,1,12,CE,CE,2360,ARTDES,120,Studio: 3D,ARTDE,ARTDE 120
39519,1,2360,1,10,CE,CE,2360,ARTDES,120,Studio: 3D,ARTDE,ARTDE 120
39519,1,2360,1,13,CE,CE,2360,ARTDES,120,Studio: 3D,ARTDE,ARTDE 120
39519,1,2360,1,2,CE,CE,2360,ARTDES,120,Studio: 3D,ARTDE,ARTDE 120
39519,1,2360,1,8,CE,CE,2360,ARTDES,120,Studio: 3D,ARTDE,ARTDE 120
39519,1,2360,1,4,CE,CE,2360,ARTDES,120,Studio: 3D,ARTDE,ARTDE 120
39534,1,2360,1,1,CE,CE,2360,ARTDES,170,Drawing,ARTDE,ARTDE 170
42575,1,2360,1,1,CE,CE,2360,ARTDES,172,Painting,ARTDE,ARTDE 172
42575,1,2360,1,2,CE,CE,2360,ARTDES,172,Painting,ARTDE,ARTDE 172
42576,1,2360,1,1,CE,CE,2360,ARTDES,173,Digital Photo,ARTDE,ARTDE 173
42576,1,2360,1,2,CE,CE,2360,ARTDES,173,Digital Photo,ARTDE,ARTDE 173
