Course ID,Offer Nbr,Term,Session,Section,Crse Attr,CrsAtr Val,Term.1,Subject,Catalog Nbr,title,subject,course
20806,1,2360,1,1,HU,HU,2360,AAS,104,Hum Seminar,AA,AA 104
20806,1,2360,1,7,HU,HU,2360,AAS,104,Hum Seminar,AA,AA 104
20806,1,2360,1,9,HU,HU,2360,AAS,104,Hum Seminar,AA,AA 104
20806,1,2360,1,4,HU,HU,2360,AAS,104,Hum Seminar,AA,AA 104
20806,1,2360,1,8,HU,HU,2360,AAS,104,Hum Seminar,AA,AA 104
20806,1,2360,1,3,HU,HU,2360,AAS,104,Hum Seminar,AA,AA 104
20806,1,2360,1,5,HU,HU,2360,AAS,104,Hum Seminar,AA,AA 104
45519,1,2360,1,5,HU,HU,2360,AAS,254,History of Hip Hop,AA,AA 254
45519,1,2360,1,1,HU,HU,2360,AAS,254,History of Hip Hop,AA,AA 254
45519,1,2360,1,2,HU,HU,2360,AAS,254,History of Hip Hop,AA,AA 254
45519,1,2360,1,3,HU,HU,2360,AAS,254,History of Hip Hop,AA,AA 254
45519,1,2360,1,8,HU,HU,2360,AAS,254,History of Hip Hop,AA,AA 254
45519,1,2360,1,4,HU,HU,2360,AAS,254,History of Hip Hop,AA,AA 254
45519,1,2360,1,6,HU,HU,2360,AAS,254,History of Hip Hop,AA,AA 254
45519,1,2360,1,7,HU,HU,2360,AAS,254,History of Hip Hop,AA,AA 254
45519,1,2360,1,9,HU,HU,2360,AAS,254,History of Hip Hop,AA,AA 254
17044,1,2360,1,1,HU,HU,2360,AAS,271,Intro Af-Am Lit,AA,AA 271
49381,2,2360,1,1,HU,HU,2360,AAS,310,Atlantic Slavery,AA,AA 310
11312,1,2360,1,2,HU,HU,2360,AAS,338,Lit Afam Cult,AA,AA 338
43110,1,2360,1,1,HU,HU,2360,AAS,346,Lit in African Hist,AA,AA 346
40708,2,2360,1,1,HU,HU,2360,AAS,354,Music Race Identity,AA,AA 354
14987,1,2360,1,1,HU,HU,2360,AAS,358,Black World Studies,AA,AA 358
14987,1,2360,1,2,HU,HU,2360,AAS,358,Black World Studies,AA,AA 358
49719,2,2360,1,1,HU,HU,2360,AAS,382,Toni Morrison,AA,AA 382
50441,1,2360,1,1,HU,HU,2360,AAS,393,Race Gend Pop Cult,AA,AA 393
47420,1,2360,GB2,1,HU,HU,2360,ALA,160,HU Topics in ALA,AL,AL 160
20185,1,2360,1,4,HU,HU,2360,AMCULT,103,Am Std Fy Sem,AMCUL,AMCUL 103
20185,1,2360,1,1,HU,HU,2360,AMCULT,103,Am Std Fy Sem,AMCUL,AMCUL 103
20185,1,2360,1,2,HU,HU,2360,AMCULT,103,Am Std Fy Sem,AMCUL,AMCUL 103
20185,1,2360,1,3,HU,HU,2360,AMCULT,103,Am Std Fy Sem,AMCUL,AMCUL 103
18750,1,2360,1,7,HU,HU,2360,AMCULT,204,Am Cult Thms,AMCUL,AMCUL 204
18750,1,2360,1,6,HU,HU,2360,AMCULT,204,Am Cult Thms,AMCUL,AMCUL 204
18750,1,2360,1,9,HU,HU,2360,AMCULT,204,Am Cult Thms,AMCUL,AMCUL 204
