Crse Lst,Crse Lst Descr,Eff Date,Crse Lst Effective Status,Crse Seq,Course ID,Subject,Catalog Nbr,title,WildCard,Wildcard Acad Group,Wildcard Subject,Wildcard Catalog,Valid Beg,Valid End,Term Code,Term Descr,Class Assoc,Topic ID,Req Designation,subject,course
1331,"1997 QR1  (No Test, Transfer or Other credit on most courses.  Must be 3 credits or more.  Transfer credit allowed for all STATS courses, PHYSICS 125, 126, 140 and 240 ONLY) Math 105 allowed for less than 3 credits",1997-09-03,A,88,47703,ANTHRBIO,463,Stats Modeling in R,N,,,,2017-08-19,,,,0,0,,ANTHRBI,ANTHRBI 463
1331,"1997 QR1  (No Test, Transfer or Other credit on most courses.  Must be 3 credits or more.  Transfer credit allowed for all STATS courses, PHYSICS 125, 126, 140 and 240 ONLY) Math 105 allowed for less than 3 credits",1997-09-03,A,67,17584,ASTRO,201,Intro Astrophysics,N,,,,2011-01-05,,,,0,0,,ASTR,ASTR 201
1331,"1997 QR1  (No Test, Transfer or Other credit on most courses.  Must be 3 credits or more.  Transfer credit allowed for all STATS courses, PHYSICS 125, 126, 140 and 240 ONLY) Math 105 allowed for less than 3 credits",1997-09-03,A,71,43987,ASTRO,205,Hidden Universe,N,,,,2011-01-05,,,,0,0,,ASTR,ASTR 205
1331,"1997 QR1  (No Test, Transfer or Other credit on most courses.  Must be 3 credits or more.  Transfer credit allowed for all STATS courses, PHYSICS 125, 126, 140 and 240 ONLY) Math 105 allowed for less than 3 credits",1997-09-03,A,78,45824,ASTRO,206,Black Holes,N,,,,2014-08-16,,,,0,0,,ASTR,ASTR 206
1331,"1997 QR1  (No Test, Transfer or Other credit on most courses.  Must be 3 credits or more.  Transfer credit allowed for all STATS courses, PHYSICS 125, 126, 140 and 240 ONLY) Math 105 allowed for less than 3 credits",1997-09-03,A,76,45338,BIOLOGY,106,Quant Reason in Bio,N,,,,2013-12-21,,,,0,0,,BIOLOG,BIOLOG 106
1331,"1997 QR1  (No Test, Transfer or Other credit on most courses.  Must be 3 credits or more.  Transfer credit allowed for all STATS courses, PHYSICS 125, 126, 140 and 240 ONLY) Math 105 allowed for less than 3 credits",1997-09-03,A,75,42032,BIOPHYS,120,DNA Double Helix,N,,,,2012-08-20,,,,0,0,,BIOPHY,BIOPHY 120
1331,"1997 QR1  (No Test, Transfer or Other credit on most courses.  Must be 3 credits or more.  Transfer credit allowed for all STATS courses, PHYSICS 125, 126, 140 and 240 ONLY) Math 105 allowed for less than 3 credits",1997-09-03,A,97,50224,BIOPHYS,150,FundPhysics LifeScI,N,,,,2021-08-21,,,,0,0,,BIOPHY,BIOPHY 150
1331,"1997 QR1  (No Test, Transfer or Other credit on most courses.  Must be 3 credits or more.  Transfer credit allowed for all STATS courses, PHYSICS 125, 126, 140 and 240 ONLY) Math 105 allowed for less than 3 credits",1997-09-03,A,98,50225,BIOPHYS,250,FundPhysics LifeScII,N,,,,2021-08-21,,,,0,0,,BIOPHY,BIOPHY 250
1331,"1997 QR1  (No Test, Transfer or Other credit on most courses.  Must be 3 credits or more.  Transfer credit allowed for all STATS courses, PHYSICS 125, 126, 140 and 240 ONLY) Math 105 allowed for less than 3 credits",1997-09-03,A,76,45338,CHEM,106,Quant Reason in Bio,N,,,,2013-12-21,,,,0,0,,CHE,CHE 106
1331,"1997 QR1  (No Test, Transfer or Other credit on most courses.  Must be 3 credits or more.  Transfer credit allowed for all STATS courses, PHYSICS 125, 126, 140 and 240 ONLY) Math 105 allowed for less than 3 credits",1997-09-03,A,79,45611,CHEM,262,Math Met Phys Sci,N,,,,2015-08-22,,,,0,0,,CHE,CHE 262
1331,"1997 QR1  (No Test, Transfer or Other credit on most courses.  Must be 3 credits or more.  Transfer credit allowed for all STATS courses, PHYSICS 125, 126, 140 and 240 ONLY) Math 105 allowed for less than 3 credits",1997-09-03,A,68,42584,CMPLXSYS,250,Energy&Climate Chng,N,,,,2010-09-07,,,,0,0,,CMPLXSY,CMPLXSY 250
