title,description,primary_instructor,subject,catalog_number,label_term,section,sub_title,credits,requirements_distribution,other,consent,advisory_prerequisites,other_course_info,repeatability
First Year Social Science Seminar,"This course seeks to introduce students to everyday life in urban Africa. The course is designed to equip students with basic and useful knowledge about the how urban residents – rich and poor, newcomers and old-timers, young and old, men and women – negotiate the challenges of living in cities.  This course focuses on networks, associational life, and relationships that are the ties that bind urban residents together.  Social organization, religious belief and practice, ethnicity, economic and political systems, the arts, and popular culture are some of the topics we will explore.  We will be approaching these themes from a variety of disciplinary perspectives, including history, anthropology, literature, political science, sociology, and economics.","Abdul Khabeer,Su'ad",AAS,103,"Winter 2022, ",Section 004, - Black Women in the Archive,3,SS,FYSem,With permission of department.,"Enrollment restricted to first-year students, including those with sophomore standing.",(Cross-Area Courses). May not be included in a major.,May not be repeated for credit.
First Year Humanities Seminar,"This seminar introduces first-year students to the intellectual community of humanities scholars working in the field of Afroamerican and African studies. 

The topic of this seminar is Black Atlantic Religion. We will study the religious beliefs, institutions and dialogues of African and African-origin communities across the Atlantic world. The class will focus on the transnational relationships of black communities across different time periods to examine how religion has informed slavery, identity, colonialism, revolutions, nationalism, globalization, and popular culture.   ","Santamarina,Xiomara A",AAS,104,"Winter 2022, ",Section 003, - Migrations in 20th Century Black Literature and Culture,3,HU,FYSem,,"Enrollment restricted to first-year students, including those with sophomore standing.",(Cross-Area Courses). May not be included in a major.,May not be repeated for credit.
First Year Humanities Seminar,"This class explores the fascinating shift in Black history from slavery to freedom in the 1800s. Through the reading of memoirs, novels, and other books, we will explain Black experience under enslavement, the Civil War, emancipation, and the civil rights struggles of the late 19th century. ","Wells,Jonathan Daniel",AAS,104,"Winter 2022, ",Section 004, - Nineteenth century Af Am History,3,HU,FYSem,,"Enrollment restricted to first-year students, including those with sophomore standing.",(Cross-Area Courses). May not be included in a major.,May not be repeated for credit.
First Year Humanities Seminar,This seminar introduces first-year students to the intellectual community of humanities scholars working in the field of Afroamerican and African studies.  The topic of the seminar varies from year to year.,"Ekotto,Frieda",AAS,104,"Winter 2022, ",Section 005, - Global Blackness,3,HU,FYSem,,"Enrollment restricted to first-year students, including those with sophomore standing.",(Cross-Area Courses). May not be included in a major.,May not be repeated for credit.
Elementary Swahili II: Language and Culture,"This is a continuation of AAS 115. It is the second part of the Swahili Elementary course aimed at reinforcing communicative skills in listening, speaking, reading and writing. The course is also designed to bolster appreciation of the cultures, traditions, and customs of Kiswahili speakers. Classroom activities include comprehension, grammar exercises, and conversation. Students engage in short oral exercises to sharpen their verbal skills.","Mwipopo,Marko",AAS,116,"Winter 2022, ",Section 002,,4,,,,AAS 115.,,May not be repeated for credit.
Elementary Swahili II: Language and Culture,"This introductory-level course is designed for students who have successfully completed Swahili I or have permission of the instructor. Students continue to develop their ability to communicate satisfactorily in Swahili in everyday practical situations while acquiring the additional skills necessary for effective reading and writing. Using a variety of written and oral materials, the course focuses on the development of the four language skills necessary for interpersonal communication in Swahili: listening, writing, reading, and speaking.","Mwipopo,Marko",AAS,116,"Winter 2022, ",Section 003,,4,,,,AAS 115.,,May not be repeated for credit.
Elementary Yoruba II," This course number is intended for students who wish to develop their ability to speak, read and write and understand a sub-Saharan African language. Instruction is offered through a distance-learning, course share program at Indiana University. At the Elementary level, instruction is currently offered in Bamana and Zulu, with the possibility of instruction in Wolof in the near future. At the Elementary level, the goal is to provide students with a basic but solid knowledge of morphology and syntax, functional vocabulary, and practice in speaking and writing. It is designed to introduce students not only to the language, but also to the many facets of the relevant African cultures. Students will develop their ability to communicate satisfactorily in everyday practical situations while acquiring some of the skills necessary for effective reading and writing. Using a variety of written and oral materials, the course focuses on the development of the four language skills necessary for interpersonal communication in listening, writing, reading, and speaking.
Crs Requirements:  	Regular written and oral exercises, occasional quizzes, and midterm/final exams with written and oral component.
Intended Audience: 	Undergraduates who want to study an African language. It will be offered as a meet-together with a 500-level for graduate students preparing for fieldwork in African countries.
Class Format: 	 Class will meet four days a week for one hour.","Ayoola,Gabriel Olujide",AAS,126,"Winter 2022, ",Section 001, - Yoruba,4,,,,AAS 125; May not repeat the same language at the same level.,May not repeat the same language at the same level.,May not be repeated for credit.
Introduction to African Studies,"An interdisciplinary introduction to the history and cultures of Africa. The course surveys Africa's prehistoric past, the rise and development of early African states, and African achievements from the medieval period to the present. Throughout, attention is given to changing perspectives and approaches in the field of African Studies.","Ashforth,Adam Philip",AAS,200,"Winter 2022, ",Section 001,,3,SS,,,,,May not be repeated for credit.
Introduction to Afro-American Studies,"What do Kendrick Lamar, Ida B. Wells, Marcus Garvey, James Baldwin, and Toni Morrison have
in common? Each of these figures are thought leaders about the condition of Black life in the
United States of America. What can we learn from understanding the lives, experiences, and
histories of Black Americans from enslavement to the present? This course provides an
interdisciplinary introduction to the field of African American Studies through careful attention
to the social, cultural, political, economic and historical realities of Black life in the U.S. In
addition to providing a strong foundation in African American Studies as a disciplinary field,
students will examine how Black communities have affected, and been affected by, the
development and growth of the United States as a democratic, social, and cultural project.
Topics covered will include antiblack racism, enslavement, citizenship, voting, policing, gender
and sexuality, civil rights, Black expressive and lived cultures, and racial discourse in the digital
age. Check out this link for an example of the layered work we will examine in this course:
https://www.youtube.com/watch?v=qQZc8SH6EFk","Andre,Naomi A",AAS,201,"Winter 2022, ",Section 001,,3,SS,CBL,,,,May not be repeated for credit.
Introduction to African Diasporic Studies,Studying the African Diaspora = Studying the World,"Gunning,Sandra R",AAS,202,"Winter 2022, ",Section 001,,3,,,,,,May not be repeated for credit.
Issues in African Studies,"Symbolic Language and Communication in West African Visual and Performing Arts will examine the wealth and depth of Akan (Ghana) system of encoding and communicating knowledge by systematic and formulaic use of words (proverbs and poetry), image (visual arts-wooden stools, textiles-adinkra and kente), and the vast array of complex regalia associated with political authority, and sound (the performing arts-songs and instrumental texts). The course will seek to unpack Akan symbolic language and communication systems by asking the following questions: How and what do these objects communicate? What is the nature of historical, philosophical, and religious knowledge the visual and performing arts convey? And additional questions that may arise in the course of the semester. The course will benefit from my field recordings (audio-visual) and my book and journal publications.","Ampene,Kwasi",AAS,206,"Winter 2022, ",Section 001, - Symbolic Language and Communications in West African Visual and Performing Arts,3,,,,AAS 111.,(African Studies).,May not be repeated for credit.
Introduction to African Art,"Through the study of a selected group of African and African Diaspora cultures, we will investigate several pivotal issues and narratives that lie behind the surfaces of some extraordinary objects and practices. African people have their own stories to tell about these things, of course: stories of mythic power expressed as living form, stories of historical contact with other cultures, stories of struggle and redemption, stories of ordinary, everyday life. And over the past several centuries, we in the “West” also have had a decisive, often disturbing hand in the framing of African peoples, objects and stories. The coupled histories of colonialism and the slave trade, along with our inevitably distorted views and representations of what African people are and what they do, have affected Africa and its peoples to the core. When we look at and think critically about “African Art,” then, we necessarily must look at and think critically about ourselves. Ultimately, the goal is to understand aspects of African cultures in the terms by which Africans understand them — to know African ideals and realities as they are shaped in word, sound, matter and movement.

 In this course we’ll be taking a few steps towards that goal. In lectures and weekly discussion sections, in films, recorded sound, and perhaps even in live performance, we will examine objects and the many stories that surround them. Looking and listening closely, we will learn to see and to understand a wide range of African visual practices including architecture, textiles, body adornment, painting, graphic communication systems, photography, dance, ritual performance and, of course, sculpture — not only as these practices continue to unfold on the African continent, but also as they are transformed, and as they endure, in the African Diaspora. 

B. E. 4","Doris,David T",AAS,208,"Winter 2022, ",Section 001,,4,"HU, RE",,,,,May not be repeated for credit.
Intermediate Swahili II,"While it continues to emphasize conversational fluency and increased facility in reading and writing skills, this course introduces students to Swahili literature through which a survey on cultural aspects and more advanced grammar is undertaken. Students will be able to understand and analyze the main ideas and significant details of materials in Swahili such as a magazine articles, short stories, poetry, short novels, films, and plays illustrative of East African cultural issues, Swahili grammar, and development of expository writing. Ideally this course would be best taught in a Swahili speaking country.","Mwipopo,Marko",AAS,216,"Winter 2022, ",Section 001,,4,,Lang Req,,AAS 215.,,May not be repeated for credit.
Intermediate Yoruba II,"A sequel to Intermediate Yoruba I, this course develops students' ability to listen, speak, read and write the sub-saharan language at the intermediate level.","Ayoola,Gabriel Olujide",AAS,226,"Winter 2022, ",Section 001,,4,,Lang Req,,AAS 225 or permission of instructor based upon proficiency of elementary language skills.,,May not be repeated for credit.
Modern Africa,"This course offers students the tools they need to understand current events in Africa in historical perspective. The issues that define African politics today are shaped by the economic, political and social changes that attended the nineteenth and twentieth centuries. Any student of political science, economics, psychology, business or literature who wishes to understand Africa must study its history, for that history sets the stage for the present.  The course will begin by examining how wide-ranging processes—the slave trade, colonial rule, nationalism, independence—transformed the social and political lives of African people. In the middle part of the course we will explore the dynamics of human rights in contemporary Africa, using a detailed study of a recent court trial in Kenya. Toward the end of the semester we'll study a series of current issues—the political crisis in Zimbabwe; the Rwanda genocide; the end of apartheid in South Africa—in relation to longer-term histories.   The core reading will be a set of primary documents dealing with issues addressed in lectures. By the end of the course, students will have learned how to interpret evidence, synthesize disparate sources, and create compelling arguments about the relation between past and present.","Peterson,Derek R",AAS,247,"Winter 2022, ",Section 001,,4,"SS, RE",,,,,May not be repeated for credit.
"Crime, Race, and the Law","This course will focus on the historical origins and ongoing impact of the racial crisis in the present-day American criminal justice system and its momentous public policy implications for U.S. society in the 21st century. The readings will grapple with a variety of germane issues, including criminal investigation procedures, racial profiling, sentencing disparities, drug trafficking, the War on Drugs, and mass incarceration.","Ellsworth,Scott A",AAS,248,"Winter 2022, ",Section 001,,3,,,,,,May not be repeated for credit.
"Law, Race, and the Historical Process, II","
This course will examine four broad purposes.  The first is to acquaint or reacquaint you with central concepts we have identified for studying the constitutional and legal history of African Americans.  The second is to introduce you to the central trusts of our work for the term, the saga of race and law from the outset of the 20th century to the present.  The third is to integrate this work with attention to the role and significance of Martin Luther King, Jr. in the shaping of the American constitutional order.  The fourth is to consider broadly the historical patterns and ongoing challenges in the engagement between Blacks and the legal order of the United States.","Woods,Ronald C",AAS,251,"Winter 2022, ",Section 001," - Law, Race and Historical Process",3,,,,AAS 450.,,May not be repeated for credit.
Introduction to Political Ecology,"This course is an introduction to the theoretical foundations and major themes of political ecology. Political ecology is an interdisciplinary field focused on understanding and critiquing the roots of environmental conflicts, crises, and injustice; seeing the world as shaped by complex interactions between social and natural forces; and imagining alternative futures.","Klein,Brian",AAS,261,"Winter 2022, ",Section 001,,4,SS,,,,,May not be repeated for credit.
Introduction to Afro-American Literature,"In this course we will study the emergence and early development of African American literature, from 1773 to the Harlem Renaissance. We will do literary close readings of texts to think through many of the issues relating to the development of an African American literary tradition. What constitutes a tradition? Can there be more than one? Along with these questions, we will examine our own assumptions about this literature and the many ways in which these texts reflect the different experiences of African Americans intent on gaining a national voice in a slaveholding and racially polarized nation.","Boisseron,Benedicte M",AAS,271,"Winter 2022, ",Section 001,,3,"HU, RE",,,AAS 111 (CAAS 111).,,May not be repeated for credit.
Black women in Popular Culture,"We will examine how Black women construct and are constructed by U.S. popular culture. Developing a set of critical tools for navigating this terrain, we will explore topics such as the history of Black representation in the United States, representations of Black femininity and sexuality, stereotypes, and subversive media.","Kelow-Bennett, Lydia  ",AAS,275,"Winter 2022, ",Section 001,,3,ID,,,,,May not be repeated for credit.
Selected Topics in Black World Studies,"The mini-course seminars will introduce students to a range of issues and experiences related to the topics and identity categories of specialized topics in Afroamerican, African, and/or Caribbean studies. The courses will explore and analyze major aspects of the subject matter:

  historical contexts for the interactions of African and the diaspora; 
  personal experiences; and
  meanings and effects. 

This is a combined short lecture/discussion course that is designed to function as an introduction to the subject matter. Students at all levels are welcome to enroll.Course Requirements:The assignments for this course include four short papers, a presentation, and active participation in class discussion. 

 Reading Journal: 

40% Flash Research 
 Project& Presentation: 40% 
 Participation: 20% 
Intended Audience:	This course is geared towards students who have interests in Afroamerican, African, and/or Caribbean studies. The course meets the 200-level area course requirement for DAAS majors and minors.Class Format:	Seminar","Ellsworth,Scott A",AAS,290,"Winter 2022, ",Section 001, - The Tulsa Race Massacre,2,,Minicourse,,,,May not be repeated for credit.
Selected Topics in Black World Studies,"The mini-course seminars will introduce students to a range of issues and experiences related to the topics and identity categories of specialized topics in Afroamerican, African, and/or Caribbean studies. The courses will explore and analyze major aspects of the subject matter:

  historical contexts for the interactions of African and the diaspora; 
  personal experiences; and
  meanings and effects. 

This is a combined short lecture/discussion course that is designed to function as an introduction to the subject matter. Students at all levels are welcome to enroll.Course Requirements:The assignments for this course include four short papers, a presentation, and active participation in class discussion. 

 Reading Journal: 

40% Flash Research 
 Project& Presentation: 40% 
 Participation: 20% 
Intended Audience:	This course is geared towards students who have interests in Afroamerican, African, and/or Caribbean studies. The course meets the 200-level area course requirement for DAAS majors and minors.Class Format:	Seminar","Ellsworth,Scott A",AAS,290,"Winter 2022, ",Section 002, - The Tulsa Race Massacre,2,,Minicourse,,,,May not be repeated for credit.
Race and Ethnic Relations,"This course examines the central tensions underlying race and ethnic relations. Our focus is primarily on intergroup relations in America, though we will devote some attention to ethnic conflict beyond the borders of the United States. Our goal is to develop an appreciation for the social forces that facilitate or impede intergroup relations. We will devote attention to:","Mahan,Margo Myra",AAS,303,"Winter 2022, ",Section 001,,4,"SS, RE",,,An introductory course in Sociology or AAS 201.,(African-American Studies).,May not be repeated for credit.
