course,description,experience_type
Accounting for Decision Making,"Through this course, you will start by addressing the two “big questions” of accounting: “What do I have?” and “How did I do over time?” You will see how the two key financial statements – the balance sheet and the income statement - are designed to answer these questions and then move on to consider how individual transactions aggregate to make up these financial statements. After developing a broad understanding of accounting and financial statements, you will begin to develop a more nuanced understanding of individual components of doing business, such as making a sale or building inventory.  By considering many of the more common actions of a company, you will build your understanding of accounting, and explore these concepts by applying them across various types of transactions. Once you understand these individual concepts better, you will be ready to return to the overall financial statements and use them as informational tools, including building ratios.

You can do this course standalone or to qualify for the residential component of the Finance for Strategic Decision-Making Executive Education program.  For more information, see the FAQ below.",course
Achieving Health Equity in Healthcare,"The third and the last course of the Addressing Racial Health Inequity in Healthcare specialization will go through various approaches that are used to addressing racial inequity in healthcare., and the strengths and challenges of those approaches. You will explore legal, policy, and regulatory approaches to interventions such as Title IX in the United States. You will explore what is being done to intervene on providers to reduce differential care. You will unpack quality improvement and multiple approaches to leveraging healthcare systems and community partnerships to address access to care. You will also come to understand the history and role of community health centers in being critical infrastructure in addressing the health needs of diverse populations. Finally, you will be introduced to the workforce initiatives and the reparations that aim to close the racial and ethnic healthcare disparities gaps.",course
"Act on Climate: Steps to Individual, Community, and Political Action","Are you concerned about climate change? Would you like to learn how to address and respond to this challenge? If so, this course is for you.  

Act on Climate: Steps to Individual, Community, and Political Action is intended to help learners understand, address and respond to climate change as individuals and in partnership with their communities and political leaders. The course focuses on how to translate learning into action on climate change in the areas of food, energy, transportation and the built environment (cities). This course was co-developed and taught by Michaela Zint, Professor of Environmental Education and Communication, and University of Michigan Students. A range of academic climate change experts and professional leaders are featured.

As a result of completing this course, you will be able to:

1) Identify individual, community, and political actions you can engage in to effectively address and respond to climate change.

2) Describe how insights from the social sciences can be employed to create change at the individual, community, and political levels.

3) Feel empowered to continue to influence how you, your community, and political leaders address and respond to climate change.

Use #UMichActonClimate on social media to share what you're doing and connect with other learners.",course
Additive Manufacturing,"This course, Additive Manufacturing, is the third course in the Coursera Specialization, Digital Technologies and the Future of Manufacturing.

In this course, learners will be introduced to the concept of Additive Manufacturing, learn how it is applied in manufacturing, and what businesses should consider as they decide to implement this technology. Considerations include the economics of the technology, information technology infrastructure, manufacturing ecosystem partners, the business value of implementing Additive Manufacturing, and what needs to happen across the organization to ensure successful implementation.

Learners will hear from industry experts as they share their perspectives on the opportunities and challenges of implementing Additive Manufacturing, how Additive Manufacturing is being implemented in their companies, and insights on the future of this technology within their industry and across manufacturing.

The content presented in this course draws on a number of real-life interviews and case studies, and was created through a partnership with Siemens.",course
Advanced Concepts in Time Value of Money (TVM),"This course builds upon the fundamental concept of Time Value of Money (TVM) using more advanced applications and questions. You will apply the TVM concept in real-life problems of financial planning and saving for college. You will also learn more about loans and apply TVM concepts to borrowing and lending. You will realize that — while the applications are seemingly more complex, but when seen and broken-up into bite-size components — the framework, principles, and tools remain the same.

After completing this course you will have an understanding of the detailed mechanics and reasoning behind any decision you make that has consequences for the future. The deeper exposure to financial transactions you will be applicable in any/all decisions. The great news is that these concepts and skills will transfer to your professional/business decisions. 

This course is part of the four-course Foundational Finance for Strategic Decision Making Specialization.",course
Advanced Literature Searching in the Health Sciences,"<p>Master the fundamental components of advanced literature searching in the health sciences. </p>
<p>Informationist Mark MacEachern and a team of fellow health sciences informationists at the University of Michigan designed this course for anyone responsible for constructing literature searches as part of their research. This course will specifically help professionals and researchers in the health sciences improve the overall quality and reporting of their literature searches. </p>
<p>After completing the course, you will better understand the importance of literature searches in health sciences work, the components of effective searches, and best practices to sufficiently report the search process. All learners who rely heavily on past research in their project work – regardless of their experience or current competence – will benefit from this practical learning experience.</p>",course
Advanced Styling with Responsive Design,"It used to be the case that everyone viewed webpages on about the same size screen.  But with the explosion of the use of smartphones to access the Internet, the landscape of design has completely changed.  People viewing your site will now expect that it will perform regardless of the platform (smartphone, tablet, laptop, or desktop computer).  This ability to respond to any platform is called responsive design.

This course will expand upon the basic knowledge of CSS3 to include topics such as wireframes, fluid design, media queries, and the use of existing styling paradigms such as Bootstrap.  After the course, learners will be able to:
** Explain the mobile-first paradigm and the importance of wireframes in the design phase
** Create sites that behave across a range of platforms
** Utilize existing design frameworks such as Bootstrap

This is the fourth course in the Web Design For Everybody specialization.  A basic understanding of HTML and CSS is expected when you enroll in this class. Additional courses focus on adding interactivity with the JavaScript Programming Language and completing a capstone project.",course
Advanced Understanding of Stocks and Bonds,"This final course will cover more advanced aspects of bonds and stocks that will help you  make smart personal decisions and develop a keen understanding of how governments and companies borrow from us. You will better understand stocks and bonds valuation and take a deeper dive using real-world problems. For stocks, you will review what you have already learned and understand valuation. You will learn about growth, different types of growth both bad and good. You will also get an opportunity to apply these concepts in practice assignments. For bonds: you will review what you have already learned. You will learn about different sources of risk in bonds. Lastly you will get an opportunity to apply these concepts in practice assignments. 

After completing this course, you will have a deeper understanding of how bonds and stocks are valued and the risks involved in both. You will be able to apply this knowledge to understand the workings of a company and how it creates value. This will enable you to invest with more confidence and also bring a special and critical lens to a company’s decisions.

 This course is part of the four-course Foundational Finance for Strategic Decision Making Specialization.",course
Afghan Refugees and Displaced People Teach-Out,"Following the removal of American troops from Afghanistan, there has been a surge of Afghans trying to escape the country’s turmoil. From food insecurity, economic concerns, health and safety hazards, mental health impacts and more, it is apparent that the people of Afghanistan are facing a range of issues. Given that the resettlement of displaced peoples into new communities is an ongoing need, with currently nearly 26 million refugees worldwide, this arising situation raises questions and invites conversation about how to best support these new refugees - and displaced peoples globally. In this Teach-Out, learners will learn about the short and longer-term implications of the multi-nation evacuation of Afghan nationals to other countries as well as ways to raise awareness about what’s happening in Afghanistan and help displaced people or refugees in their own communities.",teachout
AIDS: Fear and Hope,"The basic biology of the virus, HIV, and the disease it causes, AIDS.  The economic, social and political factors that determine who gets sick and who remains healthy, who lives and who dies.  The progress of scientific research and medical treatments.  The reasons for hope; the reasons for fear.  (To get a glimpse of some of the materials that students have been posting on the course forums, go to @AIDSFAH or #AIDSFAH.)",course
"Anatomy: Cardiovascular, Respiratory and Urinary Systems","In this anatomy course, part of the Anatomy Specialization, you will explore the interactive relationships of the cardiovascular, respiratory and urinary systems, and the roles they play in your body.

This course is a primer for the cardiovascular, respiratory, and urinary systems in which students learn the pertinent details of the structures and functions through a combination of lectures, videos, labeling activities and quizzes.",course
"Anatomy: Cardiovascular, Respiratory, and Urinary Systems","<h2 id=""explore-how-these-vital-anatomical-systems-work-together-in-the-body"">Explore how these vital anatomical systems work together in the body</h2>

<p>On this course, you’ll explore the interactive relationships of the cardiovascular, respiratory and urinary systems.</p>

<p>You’ll build your understanding of these vital anatomical systems and better understand the roles they play in the human body.</p>

<p>You’ll identify the different components of each system and learn their structures and functions through a combination of lectures, videos, labelling activities and quizzes.</p>

<p>This course is designed for high school and new college and university students interested in the medical field.</p>

<p>It will also be of interest to adults looking for a career change into a health profession, as well as anyone looking to improve their understanding of the human body.</p>

",course
"Anatomy: Cardiovascular, Urinary, and Respiratory Systems","<p>In this anatomy course, part of the Anatomy XSeries, you will explore the interactive relationships of the cardiovascular, respiratory and urinary systems, and the roles they play in your body.</p>
<p>This course is a primer for the cardiovascular, respiratory, and urinary systems in which students learn the pertinent details of the structures and functions through a combination of lectures, videos, labeling activities and quizzes.</p>",course
"Anatomy: Gastrointestinal, Reproductive and Endocrine Systems","In this anatomy course, part of the Anatomy Specialization, you’ll learn about the various digestive, endocrine, and reproductive organs, their functions, and pathways of nerves and blood vessels serving these organs. Clinical correlations and vignettes will be used to highlight the importance of these anatomical structures and their relationships. Images and videos from cadaveric and artistic materials will be used to illustrate these concepts.",course
